iter	Passed	Remaining
0	0	78
1	1	69
2	2	67
3	2	60
4	3	58
5	3	58
6	4	56
7	4	56
8	5	55
9	6	54
10	6	53
11	7	53
12	7	52
13	8	51
14	9	51
15	9	50
16	10	50
17	10	49
18	11	48
19	12	48
20	12	48
21	13	47
22	14	47
23	14	46
24	15	45
25	15	45
26	16	44
27	17	44
28	17	43
29	18	42
30	19	42
31	19	41
32	20	41
33	20	40
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	32
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	55	6
90	55	5
91	56	4
92	56	4
93	57	3
94	58	3
95	58	2
96	59	1
97	59	1
98	60	0
99	61	0
