iter	Passed	Remaining
0	110	110477
1	113	56481
2	116	38724
3	119	29666
4	122	24337
5	124	20608
6	126	17949
7	130	16184
8	134	14771
9	138	13711
10	141	12715
11	145	11946
12	147	11212
13	150	10583
14	152	10019
15	156	9622
16	159	9237
17	162	8858
18	166	8582
19	168	8274
20	171	8002
21	175	7785
22	177	7554
23	180	7327
24	183	7159
25	186	6981
26	189	6821
27	192	6689
28	195	6559
29	198	6432
30	200	6281
31	202	6137
32	206	6040
33	209	5955
34	211	5836
35	214	5738
36	218	5687
37	222	5628
38	225	5545
39	227	5467
40	230	5392
41	236	5387
42	239	5324
43	242	5268
44	244	5194
45	249	5174
46	252	5115
47	255	5067
48	257	5003
49	260	4956
50	263	4898
51	266	4863
52	269	4818
53	271	4763
54	274	4720
55	278	4688
56	280	4641
57	283	4603
58	286	4563
59	288	4522
60	290	4472
61	293	4444
62	296	4408
63	298	4371
64	301	4331
65	303	4289
66	305	4247
67	308	4227
68	311	4198
69	313	4170
70	316	4136
71	318	4100
72	319	4063
73	321	4027
74	324	4004
75	327	3975
76	329	3946
77	331	3915
78	333	3890
79	336	3868
80	340	3868
81	344	3851
82	345	3817
83	348	3795
84	350	3773
85	354	3768
86	357	3751
87	360	3735
88	362	3706
89	363	3679
90	368	3683
91	372	3673
92	375	3660
93	377	3642
94	379	3618
95	381	3593
96	385	3586
97	388	3573
98	390	3555
99	392	3534
100	395	3523
101	398	3512
102	401	3498
103	404	3484
104	406	3468
105	409	3452
106	411	3435
107	414	3424
108	416	3405
109	418	3389
110	421	3372
111	423	3356
112	425	3338
113	427	3323
114	430	3310
115	432	3296
116	434	3280
117	436	3262
118	438	3245
119	440	3227
120	442	3212
121	444	3196
122	446	3181
123	448	3165
124	450	3152
125	452	3138
126	454	3121
127	456	3108
128	458	3096
129	461	3089
130	463	3076
131	466	3066
132	468	3055
133	471	3047
134	474	3042
135	478	3042
136	481	3032
137	483	3021
138	486	3010
139	488	2998
140	490	2987
141	492	2974
142	494	2965
143	496	2953
144	499	2943
145	502	2936
146	504	2928
147	507	2920
148	509	2910
149	511	2900
150	514	2890
151	516	2880
152	519	2874
153	521	2867
154	525	2863
155	527	2852
156	529	2841
157	531	2834
158	535	2830
159	539	2829
160	540	2817
161	543	2810
162	545	2801
163	547	2792
164	550	2787
165	553	2778
166	555	2772
167	558	2764
168	560	2755
169	562	2746
170	565	2741
171	568	2736
172	571	2731
173	573	2724
174	576	2719
175	580	2719
176	583	2711
177	586	2710
178	589	2703
179	592	2696
180	594	2691
181	597	2685
182	599	2678
183	602	2670
184	604	2662
185	606	2652
186	607	2643
187	610	2635
188	613	2632
189	616	2630
190	619	2622
191	621	2615
192	624	2610
193	626	2604
194	628	2596
195	631	2591
196	635	2589
197	637	2582
198	640	2579
199	644	2576
200	646	2570
201	649	2565
202	652	2561
203	655	2557
204	658	2553
205	661	2548
206	663	2541
207	665	2535
208	668	2528
209	671	2525
210	674	2520
211	676	2516
212	679	2511
213	682	2506
214	685	2503
215	688	2498
216	691	2494
217	694	2489
218	696	2484
219	702	2489
220	706	2488
221	709	2484
222	711	2478
223	715	2479
224	719	2476
225	721	2472
226	724	2467
227	727	2462
228	730	2460
229	733	2454
230	736	2453
231	739	2446
232	741	2441
233	743	2433
234	747	2433
235	750	2429
236	752	2423
237	755	2419
238	758	2415
239	761	2412
240	764	2406
241	767	2402
242	769	2396
243	771	2391
244	774	2387
245	777	2382
246	779	2375
247	781	2370
248	784	2364
249	786	2359
250	788	2354
251	791	2350
252	794	2347
253	798	2344
254	800	2338
255	802	2332
256	805	2329
257	808	2325
258	811	2320
259	813	2315
260	816	2311
261	818	2306
262	821	2303
263	824	2298
264	827	2294
265	829	2289
266	832	2285
267	835	2283
268	838	2278
269	841	2274
270	843	2268
271	846	2265
272	849	2262
273	852	2258
274	854	2253
275	857	2248
276	859	2242
277	861	2237
278	864	2233
279	867	2229
280	869	2225
281	871	2220
282	874	2214
283	876	2210
284	880	2207
285	882	2203
286	884	2198
287	886	2192
288	888	2185
289	890	2181
290	893	2176
291	895	2172
292	898	2168
293	900	2162
294	902	2157
295	904	2151
296	906	2145
297	909	2141
298	911	2137
299	913	2132
300	916	2128
301	918	2123
302	920	2117
303	922	2111
304	925	2107
305	927	2104
306	930	2100
307	933	2097
308	935	2092
309	937	2087
310	940	2084
311	944	2082
312	947	2079
313	949	2074
314	951	2069
315	953	2063
316	956	2061
317	959	2057
318	962	2053
319	964	2048
320	966	2043
321	968	2038
322	970	2035
323	974	2032
324	977	2029
325	979	2025
326	981	2020
327	983	2015
328	986	2012
329	990	2010
330	992	2005
331	994	2000
332	996	1995
333	998	1991
334	1002	1989
335	1004	1984
336	1006	1979
337	1008	1974
338	1011	1971
339	1014	1969
340	1017	1965
341	1019	1962
342	1021	1957
343	1023	1952
344	1026	1948
345	1028	1944
346	1031	1940
347	1033	1936
348	1035	1932
349	1038	1928
350	1040	1924
351	1042	1919
352	1045	1917
353	1048	1913
354	1051	1909
355	1053	1905
356	1056	1902
357	1058	1897
358	1061	1894
359	1063	1891
360	1066	1887
361	1068	1883
362	1071	1880
363	1074	1876
364	1076	1873
365	1079	1869
366	1082	1866
367	1084	1862
368	1086	1858
369	1091	1858
370	1093	1854
371	1096	1850
372	1098	1846
373	1100	1841
374	1102	1837
375	1104	1832
376	1108	1832
377	1111	1829
378	1113	1825
379	1116	1821
380	1119	1818
381	1121	1814
382	1123	1810
383	1126	1806
384	1129	1803
385	1131	1799
386	1133	1795
387	1136	1792
388	1139	1789
389	1141	1785
390	1143	1781
391	1146	1777
392	1148	1774
393	1151	1771
394	1154	1767
395	1157	1765
396	1159	1760
397	1162	1757
398	1165	1755
399	1167	1751
400	1169	1747
401	1172	1744
402	1175	1740
403	1177	1737
404	1179	1733
405	1183	1730
406	1185	1726
407	1187	1722
408	1192	1722
409	1195	1720
410	1198	1717
411	1201	1714
412	1203	1710
413	1205	1706
414	1208	1703
415	1211	1700
416	1213	1696
417	1217	1694
418	1220	1691
419	1223	1689
420	1227	1688
421	1230	1685
422	1232	1681
423	1235	1678
424	1238	1675
425	1244	1676
426	1246	1673
427	1249	1670
428	1252	1667
429	1259	1669
430	1265	1671
431	1270	1669
432	1273	1668
433	1276	1665
434	1279	1661
435	1283	1660
436	1287	1658
437	1292	1658
438	1295	1655
439	1297	1651
440	1300	1647
441	1303	1645
442	1306	1642
443	1310	1641
444	1313	1637
445	1315	1634
446	1319	1632
447	1323	1630
448	1326	1627
449	1329	1624
450	1332	1622
451	1338	1622
452	1341	1619
453	1344	1616
454	1348	1615
455	1351	1611
456	1353	1608
457	1356	1605
458	1358	1601
459	1361	1598
460	1365	1596
461	1367	1592
462	1370	1589
463	1372	1585
464	1376	1583
465	1380	1581
466	1382	1578
467	1385	1574
468	1388	1572
469	1392	1569
470	1394	1566
471	1397	1563
472	1399	1559
473	1401	1555
474	1404	1551
475	1406	1548
476	1411	1547
477	1414	1544
478	1417	1541
479	1420	1538
480	1423	1535
481	1427	1533
482	1429	1530
483	1431	1526
484	1434	1523
485	1438	1521
486	1440	1517
487	1443	1514
488	1445	1510
489	1448	1507
490	1450	1503
491	1455	1502
492	1457	1499
493	1461	1497
494	1464	1494
495	1467	1490
496	1479	1497
497	1481	1493
498	1486	1492
499	1488	1488
500	1491	1486
501	1494	1482
502	1496	1479
503	1501	1477
504	1504	1474
505	1506	1471
506	1510	1468
507	1512	1465
508	1517	1463
509	1520	1460
510	1522	1457
511	1525	1453
512	1528	1450
513	1531	1447
514	1534	1444
515	1536	1441
516	1538	1437
517	1541	1434
518	1546	1432
519	1548	1429
520	1551	1426
521	1553	1422
522	1556	1419
523	1558	1415
524	1561	1413
525	1564	1409
526	1566	1405
527	1568	1402
528	1570	1398
529	1572	1394
530	1576	1392
531	1578	1388
532	1581	1385
533	1583	1381
534	1585	1377
535	1588	1375
536	1591	1372
537	1593	1368
538	1595	1364
539	1598	1361
540	1600	1357
541	1602	1354
542	1605	1351
543	1608	1348
544	1611	1345
545	1613	1341
546	1616	1338
547	1620	1336
548	1623	1333
549	1627	1331
550	1629	1327
551	1632	1324
552	1636	1322
553	1639	1319
554	1642	1316
555	1644	1313
556	1646	1309
557	1650	1307
558	1652	1303
559	1654	1299
560	1656	1296
561	1659	1293
562	1661	1289
563	1664	1286
564	1667	1283
565	1669	1279
566	1671	1276
567	1674	1273
568	1676	1270
569	1681	1268
570	1683	1265
571	1686	1261
572	1688	1258
573	1691	1255
574	1693	1251
575	1696	1248
576	1698	1245
577	1700	1241
578	1702	1238
579	1705	1234
580	1707	1231
581	1711	1229
582	1713	1225
583	1715	1222
584	1718	1219
585	1720	1215
586	1722	1212
587	1726	1209
588	1728	1205
589	1730	1202
590	1732	1199
591	1734	1195
592	1737	1192
593	1739	1188
594	1742	1185
595	1744	1182
596	1746	1179
597	1748	1175
598	1751	1172
599	1753	1168
600	1756	1166
601	1758	1162
602	1761	1159
603	1763	1156
604	1765	1152
605	1767	1149
606	1769	1145
607	1772	1142
608	1774	1139
609	1776	1135
610	1778	1132
611	1781	1129
612	1783	1125
613	1785	1122
614	1787	1119
615	1790	1116
616	1792	1112
617	1794	1108
618	1796	1105
619	1798	1102
620	1801	1099
621	1803	1096
622	1806	1093
623	1809	1090
624	1810	1086
625	1812	1083
626	1816	1080
627	1818	1077
628	1820	1073
629	1822	1070
630	1824	1067
631	1826	1063
632	1829	1060
633	1832	1057
634	1833	1054
635	1836	1050
636	1837	1047
637	1840	1044
638	1842	1040
639	1844	1037
640	1846	1034
641	1848	1030
642	1851	1027
643	1853	1024
644	1855	1021
645	1856	1017
646	1860	1014
647	1862	1011
648	1864	1008
649	1866	1005
650	1868	1001
651	1870	998
652	1872	995
653	1874	991
654	1876	988
655	1879	985
656	1881	982
657	1883	979
658	1885	975
659	1888	972
660	1891	969
661	1893	966
662	1894	963
663	1897	960
664	1899	956
665	1901	953
666	1904	950
667	1907	947
668	1909	944
669	1911	941
670	1913	938
671	1916	935
672	1918	932
673	1921	929
674	1924	926
675	1926	923
676	1928	919
677	1930	916
678	1932	913
679	1934	910
680	1937	907
681	1939	904
682	1942	901
683	1944	898
684	1946	895
685	1948	891
686	1952	889
687	1954	886
688	1956	883
689	1958	880
690	1960	876
691	1962	873
692	1964	870
693	1967	867
694	1970	864
695	1972	861
696	1974	858
697	1976	855
698	1979	852
699	1982	849
700	1984	846
701	1987	843
702	1989	840
703	1991	837
704	1993	834
705	1996	831
706	1999	828
707	2001	825
708	2003	822
709	2006	819
710	2008	816
711	2011	813
712	2013	810
713	2015	807
714	2018	804
715	2020	801
716	2022	798
717	2025	795
718	2027	792
719	2029	789
720	2032	786
721	2034	783
722	2037	780
723	2040	777
724	2043	775
725	2046	772
726	2048	769
727	2050	766
728	2052	762
729	2054	760
730	2057	757
731	2060	754
732	2064	751
733	2067	749
734	2070	746
735	2073	743
736	2076	740
737	2079	738
738	2081	735
739	2083	732
740	2089	730
741	2092	727
742	2097	725
743	2102	723
744	2106	720
745	2109	718
746	2111	715
747	2114	712
748	2118	709
749	2120	706
750	2123	704
751	2125	701
752	2128	698
753	2131	695
754	2134	692
755	2136	689
756	2139	686
757	2141	683
758	2143	680
759	2147	678
760	2150	675
761	2152	672
762	2154	669
763	2157	666
764	2159	663
765	2163	660
766	2165	657
767	2167	654
768	2169	651
769	2171	648
770	2173	645
771	2175	642
772	2178	639
773	2181	637
774	2184	634
775	2187	631
776	2191	629
777	2194	626
778	2197	623
779	2199	620
780	2201	617
781	2203	614
782	2207	611
783	2209	608
784	2212	605
785	2215	603
786	2217	600
787	2219	597
788	2224	594
789	2226	591
790	2229	589
791	2232	586
792	2234	583
793	2237	580
794	2240	577
795	2243	575
796	2246	572
797	2248	569
798	2251	566
799	2254	563
800	2256	560
801	2258	557
802	2261	554
803	2263	551
804	2265	548
805	2269	546
